route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
10,8,2839,"LONG BRANCH",1,"3215",1886
10,7,2840,"LONG BRANCH",1,"3231",1887
10,8,2841,"LONG BRANCH",1,"3221",1888
10,7,2842,"LONG BRANCH",1,"3235",1889
10,8,2843,"LONG BRANCH",1,"3271",1890
10,7,2844,"LONG BRANCH",1,"3239",1891
10,8,2845,"LONG BRANCH",1,"3281",1892
10,7,2846,"LONG BRANCH",1,"3243",1893
10,8,2847,"LONG BRANCH",1,"3285",1894
10,7,2848,"LONG BRANCH",1,"3209",1895
10,8,2849,"LONG BRANCH",1,"3293",1896
10,5,2850,"LONG BRANCH",1,"3201",1897
10,8,2851,"BAY HEAD",1,"3363",1898
10,7,2852,"LONG BRANCH",1,"3217",1899
10,8,2853,"BAY HEAD",1,"3373",1900
10,7,2854,"LONG BRANCH",1,"3223",1901
10,8,2855,"BAY HEAD",1,"3361",1902
10,7,2856,"LONG BRANCH",1,"3289",1903
10,8,2857,"SOUTH AMBOY",1,"3507",1904
10,7,2858,"LONG BRANCH",1,"3297",1905
10,8,2859,"SOUTH AMBOY",1,"3505",1906
10,7,2860,"LONG BRANCH",1,"3215",1907
10,8,2861,"SOUTH AMBOY",1,"3503",1908
10,7,2862,"LONG BRANCH",1,"3221",1909
10,7,2863,"LONG BRANCH",1,"3271",1910
10,7,2864,"LONG BRANCH",1,"3281",1911
10,7,2865,"LONG BRANCH",1,"3285",1912
10,7,2866,"LONG BRANCH",1,"3293",1913
10,7,2867,"BAY HEAD",1,"3363",1914
10,7,2868,"BAY HEAD",1,"3361",1915
10,7,2869,"SOUTH AMBOY",1,"3507",1916
10,7,2870,"SOUTH AMBOY",1,"3505",1917
10,7,2871,"SOUTH AMBOY",1,"3503",1918
10,15,2872,"LONG BRANCH",1,"8207",1919
11,15,2873,"NEW YORK PENN STATION",0,"8380",1920
11,33,2874,"LONG BRANCH",0,"4720",1921
11,24,2875,"NEW YORK PENN STATION",0,"8318",1922
11,33,2876,"LONG BRANCH",0,"4728",1923
11,33,2877,"LONG BRANCH",0,"4736",1924
11,33,2878,"LONG BRANCH",0,"4744",1925
11,3,2879,"LONG BRANCH",0,"4708",1926
11,33,2880,"LONG BRANCH",0,"4752",1927
11,3,2881,"LONG BRANCH",0,"4716",1928
11,33,2882,"LONG BRANCH",0,"4764",1929
11,3,2883,"LONG BRANCH",0,"4724",1930
11,4,2884,"LONG BRANCH",0,"4708",1931
11,3,2885,"LONG BRANCH",0,"4732",1932
11,4,2886,"LONG BRANCH",0,"4716",1933
11,3,2887,"LONG BRANCH",0,"4740",1934
11,4,2888,"LONG BRANCH",0,"4724",1935
11,3,2889,"LONG BRANCH",0,"4748",1936
11,4,2890,"LONG BRANCH",0,"4732",1937
11,3,2891,"LONG BRANCH",0,"4756",1938
11,4,2892,"LONG BRANCH",0,"4740",1939
11,3,2893,"LONG BRANCH",0,"4760",1940
11,4,2894,"LONG BRANCH",0,"4748",1941
11,3,2895,"LONG BRANCH",0,"4768",1942
11,4,2896,"LONG BRANCH",0,"4756",1943
11,3,2897,"LONG BRANCH",0,"4772",1944
11,4,2898,"LONG BRANCH",0,"4760",1945
11,3,2899,"LONG BRANCH",0,"4780",1946
11,4,2900,"LONG BRANCH",0,"4768",1947
11,7,2901,"LONG BRANCH",0,"4306",1948
11,4,2902,"LONG BRANCH",0,"4772",1949
11,7,2903,"LONG BRANCH",0,"4324",1950
11,4,2904,"LONG BRANCH",0,"4780",1951
11,7,2905,"LONG BRANCH",0,"4330",1952
11,8,2906,"LONG BRANCH",0,"4306",1953
11,7,2907,"LONG BRANCH",0,"4332",1954
11,8,2908,"LONG BRANCH",0,"4324",1955
11,7,2909,"LONG BRANCH",0,"4340",1956
11,8,2910,"LONG BRANCH",0,"4330",1957
11,7,2911,"LONG BRANCH",0,"4344",1958
11,8,2912,"LONG BRANCH",0,"4332",1959
11,7,2913,"LONG BRANCH",0,"4352",1960
11,8,2914,"LONG BRANCH",0,"4340",1961
11,7,2915,"LONG BRANCH",0,"4366",1962
11,8,2916,"LONG BRANCH",0,"4344",1963
11,7,2917,"LONG BRANCH",0,"4372",1964
11,8,2918,"LONG BRANCH",0,"4352",1965
11,7,2919,"LONG BRANCH",0,"4378",1966
11,8,2920,"LONG BRANCH",0,"4366",1967
11,7,2921,"LONG BRANCH",0,"4384",1968
11,8,2922,"LONG BRANCH",0,"4372",1969
11,7,2923,"LONG BRANCH",0,"4392",1970
11,8,2924,"LONG BRANCH",0,"4378",1971
11,7,2925,"LONG BRANCH",0,"4398",1972
11,8,2926,"LONG BRANCH",0,"4384",1973
11,7,2927,"HOBOKEN",0,"2608",1974
11,8,2928,"LONG BRANCH",0,"4392",1975
11,7,2929,"HOBOKEN",0,"2300",1976
11,8,2930,"LONG BRANCH",0,"4398",1977
11,7,2931,"HOBOKEN",0,"2312",1978
11,8,2932,"HOBOKEN",0,"2606",1979
11,7,2933,"HOBOKEN",0,"2602",1980
11,8,2934,"HOBOKEN",0,"2608",1981
11,7,2935,"HOBOKEN",0,"2606",1982
11,8,2936,"HOBOKEN",0,"2300",1983
11,8,2937,"HOBOKEN",0,"2312",1984
11,8,2938,"HOBOKEN",0,"2604",1985
11,8,2939,"HOBOKEN",0,"2602",1986
11,7,2940,"BAY HEAD",1,"4393",1987
11,8,2941,"BAY HEAD",1,"4393",1988
11,7,2942,"BAY HEAD",1,"4397",1989
11,8,2943,"BAY HEAD",1,"4397",1990
11,15,2944,"BAY HEAD",1,"8303",1991
11,33,2945,"BAY HEAD",1,"4725",1992
11,20,2946,"BAY HEAD",1,"8393",1993
11,33,2947,"BAY HEAD",1,"4733",1994
11,15,2948,"BAY HEAD",1,"8305",1995
11,33,2949,"BAY HEAD",1,"4741",1996
11,33,2950,"BAY HEAD",1,"4749",1997
11,33,2951,"BAY HEAD",1,"4757",1998
11,10,2952,"BAY HEAD",1,"8353",1999
11,33,2953,"BAY HEAD",1,"4769",2000
11,16,2954,"BAY HEAD",1,"4705",2001
11,11,2955,"BAY HEAD",1,"4785",2002
11,13,2956,"BAY HEAD",1,"4785",2003
11,11,2957,"BAY HEAD",1,"4705",2004
11,3,2958,"BAY HEAD",1,"4721",2005
11,4,2959,"BAY HEAD",1,"4721",2006
11,3,2960,"BAY HEAD",1,"4729",2007
11,4,2961,"BAY HEAD",1,"4729",2008
11,3,2962,"BAY HEAD",1,"4737",2009
11,4,2963,"BAY HEAD",1,"4737",2010
11,3,2964,"BAY HEAD",1,"4745",2011
11,4,2965,"BAY HEAD",1,"4745",2012
11,3,2966,"BAY HEAD",1,"4753",2013
11,4,2967,"BAY HEAD",1,"4753",2014
11,3,2968,"BAY HEAD",1,"4761",2015
11,4,2969,"BAY HEAD",1,"4761",2016
11,3,2970,"BAY HEAD",1,"4765",2017
11,4,2971,"BAY HEAD",1,"4765",2018
11,3,2972,"BAY HEAD",1,"4773",2019
11,4,2973,"BAY HEAD",1,"4773",2020
11,3,2974,"BAY HEAD",1,"4777",2021
11,4,2975,"BAY HEAD",1,"4777",2022
11,7,2976,"LONG BRANCH",1,"2611",2023
11,8,2977,"LONG BRANCH",1,"2609",2024
11,7,2978,"BAY HEAD",1,"4315",2025
11,8,2979,"LONG BRANCH",1,"2611",2026
11,7,2980,"BAY HEAD",1,"4321",2027
11,8,2981,"BAY HEAD",1,"4315",2028
11,7,2982,"BAY HEAD",1,"4323",2029
11,8,2983,"BAY HEAD",1,"4321",2030
11,7,2984,"BAY HEAD",1,"4331",2031
11,8,2985,"BAY HEAD",1,"4323",2032
11,7,2986,"BAY HEAD",1,"4335",2033
11,8,2987,"BAY HEAD",1,"4331",2034
11,7,2988,"BAY HEAD",1,"4343",2035
11,8,2989,"BAY HEAD",1,"4335",2036
11,7,2990,"BAY HEAD",1,"4355",2037
11,8,2991,"BAY HEAD",1,"4343",2038
11,7,2992,"BAY HEAD",1,"4367",2039
11,8,2993,"BAY HEAD",1,"4355",2040
11,7,2994,"BAY HEAD",1,"4379",2041
11,8,2995,"BAY HEAD",1,"4369",2042
11,7,2996,"BAY HEAD",1,"4383",2043
11,8,2997,"BAY HEAD",1,"4379",2044
11,7,2998,"LONG BRANCH",1,"2605",2045
11,8,2999,"BAY HEAD",1,"4383",2046
11,7,3000,"BAY HEAD",1,"2313",2047
11,8,3001,"LONG BRANCH",1,"2605",2048
11,7,3002,"BAY HEAD",1,"2303",2049
11,8,3003,"BAY HEAD",1,"2313",2050
11,7,3004,"LONG BRANCH",1,"2607",2051
11,8,3005,"BAY HEAD",1,"2303",2052
11,8,3006,"LONG BRANCH",1,"2607",2053
11,15,3007,"BAY HEAD",1,"8393",2054
12,17,3008,"NLR BROAD ST VIA PENN",0,"007NK002",2055
12,17,3009,"NLR BROAD ST VIA PENN",0,"007NK001",2055
12,17,3010,"NLR BROAD ST VIA PENN",0,"007NK003",2055
12,17,3011,"NLR BROAD ST VIA PENN",0,"007NK004",2055
12,17,3012,"NLR BROAD ST VIA PENN",0,"007NK002",2055
12,17,3013,"NLR BROAD ST VIA PENN",0,"007NK001",2055
12,17,3014,"NLR BROAD ST VIA PENN",0,"007NK003",2055
12,17,3015,"NLR BROAD ST VIA PENN",0,"007NK004",2055
12,17,3016,"NLR BROAD ST VIA PENN",0,"007NK002",2055
12,17,3017,"NLR BROAD ST VIA PENN",0,"007NK001",2055
12,17,3018,"NLR BROAD ST VIA PENN",0,"007NK003",2055
12,17,3019,"NLR BROAD ST VIA PENN",0,"007NK004",2055
12,17,3020,"NLR BROAD ST VIA PENN",0,"007NK002",2055
12,17,3021,"NLR BROAD ST VIA PENN",0,"007NK001",2055
12,17,3022,"NLR BROAD ST VIA PENN",0,"007NK003",2055
12,17,3023,"NLR BROAD ST VIA PENN",0,"007NK004",2055
12,17,3024,"NLR BROAD ST VIA PENN",0,"007NK002",2055
12,17,3025,"NLR BROAD ST VIA PENN",0,"007NK001",2055
12,17,3026,"NLR BROAD ST VIA PENN",0,"007NK003",2055
12,17,3027,"NLR BROAD ST VIA PENN",0,"007NK004",2055
12,17,3028,"NLR BROAD ST VIA PENN",0,"007NK002",2055
12,17,3029,"NLR BROAD ST VIA PENN",0,"007NK001",2055
12,17,3030,"NLR BROAD ST VIA PENN",0,"007NK003",2055
12,17,3031,"NLR BROAD ST VIA PENN",0,"007NK004",2055
12,17,3032,"NLR BROAD ST VIA PENN",0,"007NK002",2055
12,17,3033,"NLR BROAD ST VIA PENN",0,"007NK001",2055
12,17,3034,"NLR BROAD ST VIA PENN",0,"007NK003",2055
12,17,3035,"NLR BROAD ST VIA PENN",0,"007NK004",2055
12,17,3036,"NLR BROAD ST VIA PENN",0,"007NK002",2055
12,17,3037,"NLR BROAD ST VIA PENN",0,"007NK001",2055
12,17,3038,"NLR BROAD ST VIA PENN",0,"007NK003",2055
12,17,3039,"NLR BROAD ST VIA PENN",0,"007NK004",2055
12,17,3040,"NLR BROAD ST VIA PENN",0,"007NK002",2055
12,17,3041,"NLR BROAD ST VIA PENN",0,"007NK001",2055
12,17,3042,"NLR BROAD ST VIA PENN",0,"007NK003",2055
12,17,3043,"NLR BROAD ST VIA PENN",0,"007NK004",2055
12,17,3044,"NLR BROAD ST VIA PENN",0,"007NK002",2055
12,17,3045,"NLR BROAD ST VIA PENN",0,"007NK001",2055
12,17,3046,"NLR BROAD ST VIA PENN",0,"007NK003",2055
12,17,3047,"NLR BROAD ST VIA PENN",0,"007NK004",2055
12,17,3048,"NLR BROAD ST VIA PENN",0,"007NK002",2055
12,17,3049,"NLR BROAD ST VIA PENN",0,"007NK001",2055
12,17,3050,"NLR BROAD ST VIA PENN",0,"007NK003",2055
12,17,3051,"NLR BROAD ST VIA PENN",0,"007NK004",2055
12,17,3052,"NLR BROAD ST VIA PENN",0,"007NK002",2055
12,17,3053,"NLR BROAD ST VIA PENN",0,"007NK001",2055
12,17,3054,"NLR BROAD ST VIA PENN",0,"007NK003",2055
12,17,3055,"NLR BROAD ST VIA PENN",0,"007NK004",2055
12,17,3056,"NLR BROAD ST VIA PENN",0,"007NK002",2055
12,17,3057,"NLR BROAD ST VIA PENN",0,"007NK001",2055
12,17,3058,"NLR BROAD ST VIA PENN",0,"007NK003",2055
12,17,3059,"NLR BROAD ST VIA PENN",0,"007NK004",2055
12,17,3060,"NLR BROAD ST VIA PENN",0,"007NK002",2055
12,17,3061,"NLR BROAD ST VIA PENN",0,"007NK001",2055
12,17,3062,"NLR BROAD ST VIA PENN",0,"007NK003",2055
12,17,3063,"NLR PENN STATION",0,"007NK004",2056
12,17,3064,"NLR PENN STATION",0,"007NK002",2056
